product_id,title,product_description,rating,ratings_count,initial_price,discount,discount_amount,quantity,total_amount,currency,category,seller_name,actual_price
8376765,Lino Perros,Women Navy Blue Solid Backpack,3.8,15,3995,58.0,2317.1,1,3995,INR,backpacks,,1677.9
9136281,Tommy Hilfiger,Unisex Navy Blue Striped Backpack,4.5,67,2899,35.0,1014.65,1,2899,INR,backpacks,,1884.35
17633752,Lavie,Aries Women Pink Mini Backpack,4.4,226,2999,65.0,1949.35,1,2999,INR,backpacks,,1049.65
1376949,F Gear,Unisex Navy & Grey Printed Burner Backpack,4.4,1052,1675,52.0,871.0,1,1675,INR,backpacks,,804.0
13939916,MYTRIDENT,Men Blue Solid Bath Robe,4.7,12,2899,17.0,492.83,1,2899,INR,bath-robe,,2406.17
17198778,H&M,Beige & Tan Solid Stoneware Soap Dispenser,4.5,42,1399,,,1,1399,INR,bathroom-accessories,H &███Hen███ & █████████eta█████████████████████,1399.0
19851824,AVI Living,Grey Solid 500 GSM Pure Cotton Bath Towel,4.0,5,1399,65.0,909.35,1,1399,INR,bath-towels,,489.65
18602872,My Room,Yellow & Green Floral 140 TC King Bedsheet with 2 Pillow Covers,4.7,10,2999,54.0,1619.46,1,2999,INR,bedsheets,,1379.54
18602850,My Room,Ethnic Print 144 TC Super King Bedsheet with 2 Pillow Covers,4.5,22,2999,54.0,1619.46,1,2999,INR,bedsheets,,1379.54
8961147,Story@home,Pink & White Floral 160 TC Cotton 1 King Bedsheet with 2 Pillow Covers,3.7,7,2199,53.0,1165.47,1,2199,INR,bedsheets,,1033.53
8430275,MYTRIDENT,Sea Green Floral Flat 120 TC Cotton 1 Queen Bedsheet with 2 Pillow Covers,4.4,26,2199,46.0,1011.54,1,2199,INR,bedsheets,,1187.46
18492504,ROMEE,Blue & Beige Conversational 160 TC King Bedsheet with 2 Pillow Covers,3.9,10,3499,65.0,2274.35,1,3499,INR,bedsheets,,1224.65
13729978,DDecor,White & Brown Floral 350 TC Cotton 1 King Bedsheet with 2 Pillow Covers,3.6,15,1599,20.0,319.8,1,1599,INR,bedsheets,,1279.2
19788630,Home Ecstasy,140tc Pure Cotton printed Teal Blue Single Bedsheet with 1 Pillow Cover,4.5,6,1199,42.0,503.58,1,1199,INR,bedsheets,,695.4200000000001
20296382,DREAM WEAVERZ,Grey & Coral Printed 220 TC Glazed Cotton King Bedsheet with 2 Pillow Covers,3.8,18,2599,78.0,2027.22,1,2599,INR,bedsheets,,571.78
18346134,Arrabi,Pink & Grey Striped 300 TC King Cotton Bedsheet With 2 Pillow Covers,4.3,12,6329,76.0,4810.04,1,6329,INR,bedsheets,,1518.96
22409156,Kastner,Women Textured Tang Slim Belt,3.8,9,1399,84.0,1175.16,1,1399,INR,belts,Kas███r L███her█████████Pvt██████,223.83999999999992
18985918,Tommy Hilfiger,Women Navy Blue Embroidered High-Neck Pure Cotton Bodysuit,4.1,11,2999,40.0,1199.6,1,2999,INR,bodysuit,PVH███VIN███ASH█████████TE ███████████████,1799.4
22120138,Ed-a-Mamma Baby,Infant Boys Pack Of 2 Printed Pure Cotton Bodysuit,4.2,5,999,30.0,299.7,1,999,INR,bodysuit,ETE███LIA███EAT█████████CHA█████████████████████ED,699.3
1728397,Mactree,Men Brown Solid Mid-Top Flat Boots,3.9,1727,9060,88.0,7972.8,1,9060,INR,boots,MAX███ IN███NAT██████,1087.1999999999998
21427828,London Rag,Women Stiletto Heeled High-Top Boots,5.0,4,9599,60.0,5759.4,1,9599,INR,boots,VOL███FAS███N P█████████,3839.6000000000004
17372928,The Souled Store,Men Blue & White Abstract Printed Boxers,4.5,22,799,54.0,431.46,1,799,INR,boxers,THE███ULE███TOR█████████D.,367.54
15115018,Jockey,Non-Wired Non-Padded Combed Cotton Workout Bra 1376-0105,4.4,1582,579,,,1,579,INR,bra,Tru███m R███il,579.0
22063882,GROVERSONS Paris Beauty,Non Padded Cotton Seamless Non-Wired T-shirt Bra,4.0,25,399,25.0,99.75,1,399,INR,bra,Gro███son███ppa█████████Ltd███,299.25
19219450,Susie,Black Solid Cotton T-Shirt Bra - Anti-Odour,4.3,12,749,50.0,374.5,1,749,INR,bra,GEN███AD ███AIL█████████LIM██████,374.5
22196924,Zivame,Underwired Lightly Padded Pushup Bra,4.3,118,999,50.0,499.5,1,999,INR,bra,MIL███AR ███AIL█████████LIM██████,499.5
19219468,Susie,Women  Black Solid Everyday Cotton Bra,4.0,6,699,43.0,300.57,1,699,INR,bra,GEN███AD ███AIL█████████LIM██████,398.43
19277544,Marks & Spencer,BOUTIQUE X DAMARIS Navy Blue Underwired Lightly Padded Balconette Bra,4.3,24,2999,60.0,1799.4,1,2999,INR,bra,Ret███Net███,1199.6
18223842,max,Plus Size Non Padded Bra,4.1,37,449,20.0,89.8,1,449,INR,bra,,359.2
18656766,VStar,Beige Solid T-Shirt Bra,4.6,5,345,,,1,345,INR,bra,V S███ CR███ION█████████,345.0
18656764,VStar,Grey Solid T-Shirt Bra,4.3,6,345,,,1,345,INR,bra,V S███ CR███ION█████████,345.0
13523458,shyaway,Multicoloured Set of 3 Printed Underwired Lightly Padded Everyday Bra shya-com-217,4.3,6,2547,52.0,1324.44,1,2547,INR,bra,,1222.56
18652628,max,Sea Green & Blue Floral Bra Lightly Padded SU22PDNW08MIST,4.2,5,649,20.0,129.8,1,649,INR,bra,,519.2
17774350,Zivame,Pink Lightly Padded T-shirt Bra,4.2,9,995,50.0,497.5,1,995,INR,bra,,497.5
16704504,ZINU,Women Silver-Toned Brass Cubic Zirconia Rhodium-Plated Charm Bracelet,4.1,7,699,45.0,314.55,1,699,INR,bracelet,SAN███UNE███,384.45
21873792,KARATCART,Cubic Zirconia Silver-Plated Wraparound Bracelet,4.6,5,3397,76.0,2581.72,1,3397,INR,bracelet,KOK███V G███AL █████████,815.2800000000002
21573578,Jewels Galaxy,Women Brass Gold-Plated Bangle-Style Bracelet,4.2,24,1329,77.0,1023.33,1,1329,INR,bracelet,RS ███els███,305.66999999999996
18100576,MINUTIAE,Women Gold-Toned & White Brass Crystals Handcrafted Gold-Plated Bangle-Style Bracelet,3.2,13,1499,70.0,1049.3,1,1499,INR,bracelet,,449.70000000000005
16696094,Van Heusen,Men Swift Dry High Stretch Mesh AIR Series Active Briefs 8905325842743,4.6,192,649,,,1,649,INR,briefs,Wes███ry ███din█████████d_M██████,649.0
21867416,DressBerry,Women Boy Shorts Brief,4.1,14,299,28.0,83.72,1,299,INR,briefs,VAC███CRE███ONS███,215.28
21850852,Soie,Women High Waist Full Coverage Lace Brief,4.9,14,390,5.0,19.5,1,390,INR,briefs,GIN███IND███RIE█████████,370.5
